"ID_NATURE_OBJECT","LINK","LINKTEXT"
"13035","http://www.nobanis.org/files/factsheets/Acartia tonsa.pdf","NOBANIS factsheet"
"29359","http://www.nobanis.org/files/factsheets/Alkmaria romijni.pdf","NOBANIS factsheet"
"14333","http://www.nobanis.org/files/factsheets/Balanus improvisus.pdf","NOBANIS factsheet"
"30698","http://www.nobanis.org/files/factsheets/Boccardia redeki.pdf","NOBANIS factsheet"
"11306","http://www.nobanis.org/files/factsheets/Corophium sextonae.pdf","NOBANIS factsheet"
"224686","http://www.nobanis.org/files/factsheets/Craspedacusta sowerbii.pdf","NOBANIS factsheet"
"35546","http://www.nobanis.org/files/factsheets/Crepidula fornicata.pdf","NOBANIS factsheet"
"14324","http://www.nobanis.org/files/factsheets/Elminius modestus.pdf","NOBANIS factsheet"
"30574","http://www.nobanis.org/files/factsheets/Ficopomatus enigmaticus.pdf","NOBANIS factsheet"
"11491","http://www.nobanis.org/files/factsheets/Gammarus tigrinus.pdf","NOBANIS factsheet"
"23471","http://www.nobanis.org/files/factsheets/Hemimysis anomala.pdf","NOBANIS factsheet"
"123116","http://www.nobanis.org/files/factsheets/Hydrocotyle_ranunculoides.pdf","NOBANIS factsheet"
"14264","http://www.nobanis.org/files/factsheets/Lepas anatifera.pdf","NOBANIS factsheet"
"38480","http://www.nobanis.org/files/factsheets/Mercenaria mercenaria.pdf","NOBANIS factsheet"
"14451","http://www.nobanis.org/files/factsheets/Mnemiopsis_leidyi.pdf","NOBANIS factsheet"
"12803","http://www.nobanis.org/files/factsheets/Molgula manhattensis.pdf","NOBANIS factsheet"
"37007","http://www.nobanis.org/files/factsheets/Mya arenaria.pdf","NOBANIS factsheet"
"29109","http://www.nobanis.org/files/factsheets/Mytilicola intestinalis.pdf","NOBANIS factsheet"
"37303","http://www.nobanis.org/files/factsheets/Petricola pholadiformis.pdf","NOBANIS factsheet"
"12389","http://www.nobanis.org/files/factsheets/Platorchestia platensis.pdf","NOBANIS factsheet"
"249744","http://www.nobanis.org/files/factsheets/Potamopyrgus antipodarum.pdf","NOBANIS factsheet"
"15641","http://www.nobanis.org/files/factsheets/Pseudobacciger harengulae.pdf","NOBANIS factsheet"
"23049","http://www.nobanis.org/files/factsheets/Pseudodactylogyrus anguillae.pdf","NOBANIS factsheet"
"23050","http://www.nobanis.org/files/factsheets/Pseudodactylogyrus anguillae.pdf","NOBANIS factsheet"
"36993","http://www.nobanis.org/files/factsheets/Rapana venosa.pdf","NOBANIS factsheet"
"14968","http://www.nobanis.org/files/factsheets/Rhithropanopeus harrisii.pdf","NOBANIS factsheet"
"12944","http://www.nobanis.org/files/factsheets/Styela clava.pdf","NOBANIS factsheet"
"38489","http://www.nobanis.org/files/factsheets/Ruditapes philippinarum.pdf","NOBANIS factsheet"
"22181","http://www.nobanis.org/files/factsheets/Telmatogeton japonicus.pdf","NOBANIS factsheet"